title,company
Reservoir Dogs,Live Entertainment
Reservoir Dogs,Dog Eat Dog Productions
Pulp Fiction,Miramax
Pulp Fiction,A Band Apart
Pulp Fiction,Jersey Films
Four Rooms,Miramax
Four Rooms,A Band Apart
Jackie Brown,Miramax
Jackie Brown,A Band Apart
Jackie Brown,Lawrence Bender Productions
Jackie Brown,Mighty Mighty Afrodite Productions
Kill Bill: Vol. 1,Miramax
Kill Bill: Vol. 1,A Band Apart
Kill Bill: Vol. 1,Super Cool ManChu
Kill Bill: Vol. 2,Super Cool ManChu
Kill Bill: Vol. 2,Miramax
Kill Bill: Vol. 2,A Band Apart
Death Proof,Troublemaker Studios
Death Proof,The Weinstein Company
Death Proof,Dimension Films
Inglourious Basterds,The Weinstein Company
Inglourious Basterds,Universal Pictures
Inglourious Basterds,A Band Apart
Inglourious Basterds,Zehnte Babelsberg Film
Inglourious Basterds,Visiona Romantica
Inglourious Basterds,Peninsula Films
Django Unchained,The Weinstein Company
Django Unchained,Columbia Pictures
The Hateful Eight,The Weinstein Company
The Hateful Eight,Double Feature Films
The Hateful Eight,FilmColony
Once Upon a Time… in Hollywood,Heyday Films
Once Upon a Time… in Hollywood,Columbia Pictures
Once Upon a Time… in Hollywood,Bona Film Group
